sample_block_idx,sample_start,sample_end_exclusive,total_rows,skipped_samples,evaluated_samples,correct,interval_acc,cumulative_evaluated_samples,cumulative_correct,cumulative_acc
382,38100,38200,100,0,100,91,0.91,36700,34731.0,0.9463487738419618
383,38200,38300,100,0,100,93,0.93,36800,34824.0,0.946304347826087
384,38300,38400,100,0,100,92,0.92,36900,34916.0,0.9462330623306233
385,38400,38500,100,0,100,95,0.95,37000,35011.0,0.9462432432432433
386,38500,38600,100,0,100,95,0.95,37100,35106.0,0.9462533692722372
387,38600,38700,100,0,100,91,0.91,37200,35197.0,0.9461559139784946
388,38700,38800,100,0,100,91,0.91,37300,35288.0,0.946058981233244
389,38800,38900,100,0,100,91,0.91,37400,35379.0,0.9459625668449197
390,38900,39000,100,0,100,98,0.98,37500,35477.0,0.9460533333333333
391,39000,39100,100,0,100,95,0.95,37600,35572.0,0.946063829787234
392,39100,39200,100,0,100,95,0.95,37700,35667.0,0.9460742705570292
393,39200,39300,100,0,100,96,0.96,37800,35763.0,0.9461111111111111
394,39300,39400,100,0,100,90,0.9,37900,35853.0,0.9459894459102902
395,39400,39500,100,0,100,94,0.94,38000,35947.0,0.9459736842105263
396,39500,39600,100,0,100,93,0.93,38100,36040.0,0.9459317585301837
397,39600,39700,100,0,100,94,0.94,38200,36134.0,0.9459162303664922
398,39700,39800,100,0,100,97,0.97,38300,36231.0,0.9459791122715405
399,39800,39900,100,0,100,98,0.98,38400,36329.0,0.9460677083333333
400,39900,40000,100,0,100,98,0.98,38500,36427.0,0.9461558441558442
401,40000,40100,100,0,100,93,0.93,38600,36520.0,0.9461139896373058
402,40100,40200,100,0,100,92,0.92,38700,36612.0,0.946046511627907
403,40200,40300,100,0,100,95,0.95,38800,36707.0,0.9460567010309279
404,40300,40400,100,0,100,88,0.88,38900,36795.0,0.9458868894601542
405,40400,40500,100,0,100,95,0.95,39000,36890.0,0.9458974358974359
406,40500,40600,100,0,100,98,0.98,39100,36988.0,0.9459846547314578
407,40600,40700,100,0,100,95,0.95,39200,37083.0,0.9459948979591837
408,40700,40800,100,0,100,94,0.94,39300,37177.0,0.9459796437659033
409,40800,40900,100,0,100,96,0.96,39400,37273.0,0.946015228426396
410,40900,41000,100,0,100,94,0.94,39500,37367.0,0.946
411,41000,41100,100,0,100,97,0.97,39600,37464.0,0.946060606060606
412,41100,41200,100,0,100,98,0.98,39700,37562.0,0.9461460957178841
413,41200,41300,100,0,100,99,0.99,39800,37661.0,0.9462562814070352
414,41300,41400,100,0,100,91,0.91,39900,37752.0,0.9461654135338345
415,41400,41500,100,0,100,94,0.94,40000,37846.0,0.94615
416,41500,41600,100,0,100,96,0.96,40100,37942.0,0.9461845386533666
417,41600,41700,100,0,100,98,0.98,40200,38040.0,0.9462686567164179
418,41700,41800,100,0,100,98,0.98,40300,38138.0,0.9463523573200993
419,41800,41900,100,0,100,97,0.97,40400,38235.0,0.9464108910891089
420,41900,42000,100,0,100,88,0.88,40500,38323.0,0.9462469135802469
421,42000,42100,100,0,100,96,0.96,40600,38419.0,0.9462807881773398
422,42100,42200,100,0,100,99,0.99,40700,38518.0,0.9463882063882064
423,42200,42300,100,0,100,94,0.94,40800,38612.0,0.9463725490196079
424,42300,42400,100,0,100,90,0.9,40900,38702.0,0.9462591687041565
425,42400,42500,100,0,100,95,0.95,41000,38797.0,0.9462682926829268
426,42500,42600,100,0,100,93,0.93,41100,38890.0,0.9462287104622871
427,42600,42700,100,0,100,99,0.99,41200,38989.0,0.9463349514563106
428,42700,42800,100,0,100,90,0.9,41300,39079.0,0.9462227602905569
429,42800,42900,100,0,100,94,0.94,41400,39173.0,0.946207729468599
430,42900,43000,100,0,100,97,0.97,41500,39270.0,0.9462650602409639
431,43000,43100,100,0,100,95,0.95,41600,39365.0,0.9462740384615385
432,43100,43200,100,0,100,91,0.91,41700,39456.0,0.9461870503597122
433,43200,43300,100,0,100,95,0.95,41800,39551.0,0.9461961722488038
434,43300,43400,100,0,100,97,0.97,41900,39648.0,0.9462529832935561
435,43400,43500,100,0,100,97,0.97,42000,39745.0,0.9463095238095238
436,43500,43600,100,0,100,97,0.97,42100,39842.0,0.9463657957244656
437,43600,43700,100,0,100,92,0.92,42200,39934.0,0.946303317535545
438,43700,43800,100,0,100,95,0.95,42300,40029.0,0.9463120567375887
439,43800,43900,100,0,100,93,0.93,42400,40122.0,0.9462735849056604
440,43900,44000,100,0,100,93,0.93,42500,40215.0,0.9462352941176471
441,44000,44100,100,0,100,92,0.92,42600,40307.0,0.9461737089201878
442,44100,44200,100,0,100,95,0.95,42700,40402.0,0.9461826697892272
443,44200,44300,100,0,100,95,0.95,42800,40497.0,0.9461915887850467
444,44300,44400,100,0,100,94,0.94,42900,40591.0,0.9461771561771561
445,44400,44500,100,0,100,95,0.95,43000,40686.0,0.9461860465116279
446,44500,44600,100,0,100,97,0.97,43100,40783.0,0.9462412993039443
447,44600,44700,100,0,100,95,0.95,43200,40878.0,0.94625
448,44700,44800,100,0,100,95,0.95,43300,40973.0,0.9462586605080832
449,44800,44900,100,0,100,99,0.99,43400,41072.0,0.9463594470046083
450,44900,45000,100,0,100,94,0.94,43500,41166.0,0.9463448275862069
451,45000,45100,100,0,100,93,0.93,43600,41259.0,0.9463073394495413
452,45100,45200,100,0,100,98,0.98,43700,41357.0,0.9463844393592677
453,45200,45300,100,0,100,92,0.92,43800,41449.0,0.946324200913242
454,45300,45311,11,0,11,10,0.9090909090909091,43811,41459.0,0.9463148524343201
