sample_block_idx,sample_start,sample_end_exclusive,total_rows,skipped_samples,evaluated_samples,correct,interval_acc,cumulative_evaluated_samples,cumulative_correct,cumulative_acc
83,8200,8300,100,0,100,97,0.97,6800,6490.0,0.9544117647058824
84,8300,8400,100,0,100,99,0.99,6900,6589.0,0.9549275362318841
85,8400,8500,100,0,100,93,0.93,7000,6682.0,0.9545714285714286
86,8500,8600,100,0,100,97,0.97,7100,6779.0,0.9547887323943662
87,8600,8700,100,0,100,98,0.98,7200,6877.0,0.9551388888888889
88,8700,8800,100,0,100,94,0.94,7300,6971.0,0.954931506849315
89,8800,8900,100,0,100,96,0.96,7400,7067.0,0.955
90,8900,9000,100,0,100,94,0.94,7500,7161.0,0.9548
91,9000,9100,100,0,100,98,0.98,7600,7259.0,0.9551315789473684
92,9100,9200,100,0,100,98,0.98,7700,7357.0,0.9554545454545454
93,9200,9300,100,0,100,96,0.96,7800,7453.0,0.9555128205128205
94,9300,9400,100,0,100,95,0.95,7900,7548.0,0.9554430379746836
95,9400,9500,100,0,100,97,0.97,8000,7645.0,0.955625
96,9500,9600,100,0,100,99,0.99,8100,7744.0,0.9560493827160493
97,9600,9700,100,0,100,96,0.96,8200,7840.0,0.9560975609756097
98,9700,9800,100,0,100,95,0.95,8300,7935.0,0.9560240963855422
99,9800,9900,100,0,100,95,0.95,8400,8030.0,0.955952380952381
100,9900,10000,100,0,100,97,0.97,8500,8127.0,0.9561176470588235
101,10000,10100,100,0,100,98,0.98,8600,8225.0,0.9563953488372093
102,10100,10200,100,0,100,98,0.98,8700,8323.0,0.9566666666666667
103,10200,10300,100,0,100,99,0.99,8800,8422.0,0.9570454545454545
104,10300,10400,100,0,100,94,0.94,8900,8516.0,0.9568539325842697
105,10400,10500,100,0,100,92,0.92,9000,8608.0,0.9564444444444444
106,10500,10600,100,0,100,95,0.95,9100,8703.0,0.9563736263736263
107,10600,10700,100,0,100,97,0.97,9200,8800.0,0.9565217391304348
108,10700,10800,100,0,100,96,0.96,9300,8896.0,0.9565591397849462
109,10800,10900,100,0,100,95,0.95,9400,8991.0,0.9564893617021276
110,10900,11000,100,0,100,98,0.98,9500,9089.0,0.9567368421052631
111,11000,11100,100,0,100,95,0.95,9600,9184.0,0.9566666666666667
112,11100,11200,100,0,100,95,0.95,9700,9279.0,0.9565979381443299
113,11200,11300,100,0,100,95,0.95,9800,9374.0,0.956530612244898
114,11300,11400,100,0,100,98,0.98,9900,9472.0,0.9567676767676768
115,11400,11500,100,0,100,99,0.99,10000,9571.0,0.9571
116,11500,11600,100,0,100,94,0.94,10100,9665.0,0.9569306930693069
117,11600,11700,100,0,100,91,0.91,10200,9756.0,0.9564705882352941
118,11700,11800,100,0,100,95,0.95,10300,9851.0,0.9564077669902913
119,11800,11900,100,0,100,93,0.93,10400,9944.0,0.9561538461538461
120,11900,12000,100,0,100,92,0.92,10500,10036.0,0.9558095238095238
121,12000,12100,100,0,100,95,0.95,10600,10131.0,0.9557547169811321
122,12100,12200,100,0,100,93,0.93,10700,10224.0,0.9555140186915888
123,12200,12300,100,0,100,98,0.98,10800,10322.0,0.9557407407407408
124,12300,12400,100,0,100,94,0.94,10900,10416.0,0.9555963302752294
125,12400,12500,100,0,100,95,0.95,11000,10511.0,0.9555454545454546
126,12500,12600,100,0,100,97,0.97,11100,10608.0,0.9556756756756757
127,12600,12700,100,0,100,96,0.96,11200,10704.0,0.9557142857142857
128,12700,12800,100,0,100,95,0.95,11300,10799.0,0.9556637168141593
129,12800,12900,100,0,100,97,0.97,11400,10896.0,0.9557894736842105
130,12900,13000,100,0,100,92,0.92,11500,10988.0,0.9554782608695652
131,13000,13100,100,0,100,94,0.94,11600,11082.0,0.9553448275862069
132,13100,13200,100,0,100,96,0.96,11700,11178.0,0.9553846153846154
133,13200,13300,100,0,100,96,0.96,11800,11274.0,0.9554237288135593
134,13300,13400,100,0,100,93,0.93,11900,11367.0,0.9552100840336134
135,13400,13500,100,0,100,94,0.94,12000,11461.0,0.9550833333333333
136,13500,13600,100,0,100,96,0.96,12100,11557.0,0.9551239669421487
137,13600,13700,100,0,100,97,0.97,12200,11654.0,0.9552459016393443
138,13700,13800,100,0,100,92,0.92,12300,11746.0,0.9549593495934959
139,13800,13900,100,0,100,96,0.96,12400,11842.0,0.955
140,13900,14000,100,0,100,98,0.98,12500,11940.0,0.9552
141,14000,14100,100,0,100,90,0.9,12600,12030.0,0.9547619047619048
142,14100,14200,100,0,100,97,0.97,12700,12127.0,0.9548818897637795
143,14200,14300,100,0,100,94,0.94,12800,12221.0,0.954765625
144,14300,14400,100,0,100,98,0.98,12900,12319.0,0.9549612403100776
145,14400,14500,100,0,100,95,0.95,13000,12414.0,0.9549230769230769
146,14500,14600,100,0,100,96,0.96,13100,12510.0,0.9549618320610687
147,14600,14700,100,0,100,94,0.94,13200,12604.0,0.9548484848484848
148,14700,14800,100,0,100,100,1.0,13300,12704.0,0.955187969924812
149,14800,14900,100,0,100,97,0.97,13400,12801.0,0.9552985074626865
150,14900,15000,100,0,100,96,0.96,13500,12897.0,0.9553333333333334
151,15000,15100,100,0,100,96,0.96,13600,12993.0,0.9553676470588235
152,15100,15200,100,0,100,97,0.97,13700,13090.0,0.9554744525547445
153,15200,15300,100,0,100,97,0.97,13800,13187.0,0.9555797101449275
154,15300,15400,100,0,100,96,0.96,13900,13283.0,0.9556115107913669
155,15400,15500,100,0,100,94,0.94,14000,13377.0,0.9555
156,15500,15600,100,0,100,97,0.97,14100,13474.0,0.9556028368794326
157,15600,15700,100,0,100,94,0.94,14200,13568.0,0.9554929577464789
158,15700,15800,100,0,100,95,0.95,14300,13663.0,0.9554545454545454
159,15800,15900,100,0,100,95,0.95,14400,13758.0,0.9554166666666667
160,15900,16000,100,0,100,95,0.95,14500,13853.0,0.9553793103448276
161,16000,16100,100,0,100,97,0.97,14600,13950.0,0.9554794520547946
162,16100,16200,100,0,100,93,0.93,14700,14043.0,0.9553061224489796
163,16200,16300,100,0,100,91,0.91,14800,14134.0,0.955
164,16300,16400,100,0,100,94,0.94,14900,14228.0,0.9548993288590604
165,16400,16500,100,0,100,97,0.97,15000,14325.0,0.955
166,16500,16600,100,0,100,97,0.97,15100,14422.0,0.9550993377483443
167,16600,16700,100,0,100,96,0.96,15200,14518.0,0.9551315789473684
168,16700,16800,100,0,100,94,0.94,15300,14612.0,0.9550326797385621
169,16800,16900,100,0,100,95,0.95,15400,14707.0,0.955
170,16900,17000,100,0,100,99,0.99,15500,14806.0,0.9552258064516129
171,17000,17100,100,0,100,96,0.96,15600,14902.0,0.9552564102564103
172,17100,17200,100,0,100,96,0.96,15700,14998.0,0.9552866242038217
173,17200,17300,100,0,100,96,0.96,15800,15094.0,0.9553164556962025
174,17300,17400,100,0,100,93,0.93,15900,15187.0,0.9551572327044026
175,17400,17500,100,0,100,92,0.92,16000,15279.0,0.9549375
176,17500,17600,100,0,100,95,0.95,16100,15374.0,0.9549068322981367
177,17600,17700,100,0,100,92,0.92,16200,15466.0,0.9546913580246914
178,17700,17800,100,0,100,94,0.94,16300,15560.0,0.9546012269938651
179,17800,17900,100,0,100,96,0.96,16400,15656.0,0.9546341463414634
180,17900,18000,100,0,100,94,0.94,16500,15750.0,0.9545454545454546
181,18000,18100,100,0,100,90,0.9,16600,15840.0,0.9542168674698795
182,18100,18200,100,0,100,95,0.95,16700,15935.0,0.954191616766467
183,18200,18300,100,0,100,97,0.97,16800,16032.0,0.9542857142857143
184,18300,18400,100,0,100,95,0.95,16900,16127.0,0.9542603550295858
185,18400,18500,100,0,100,98,0.98,17000,16225.0,0.9544117647058824
186,18500,18600,100,0,100,96,0.96,17100,16321.0,0.9544444444444444
187,18600,18700,100,0,100,97,0.97,17200,16418.0,0.9545348837209302
188,18700,18800,100,0,100,97,0.97,17300,16515.0,0.9546242774566474
189,18800,18900,100,0,100,96,0.96,17400,16611.0,0.954655172413793
190,18900,19000,100,0,100,95,0.95,17500,16706.0,0.9546285714285714
191,19000,19100,100,0,100,93,0.93,17600,16799.0,0.9544886363636363
