window_id,sample_start,sample_end,n_eval,correct_estimated,interval_acc,cumulative_correct_estimated,cumulative_n_eval,cumulative_acc
88,9724,9823,100.0,79.5,0.795000,7575.0,8800.0,0.860795
89,9824,9923,100.0,83.5,0.835000,7658.5,8900.0,0.860506
90,9924,10023,100.0,88.5,0.885000,7747.0,9000.0,0.860778
91,10024,10123,100.0,85.0,0.850000,7832.0,9100.0,0.860659
92,10124,10223,100.0,90.0,0.900000,7922.0,9200.0,0.861087
93,10224,10323,100.0,90.0,0.900000,8012.0,9300.0,0.861505
94,10324,10423,100.0,83.5,0.835000,8095.5,9400.0,0.861223
95,10424,10523,100.0,90.5,0.905000,8186.0,9500.0,0.861684
96,10524,10623,100.0,71.0,0.710000,8257.0,9600.0,0.860104
97,10624,10723,100.0,56.0,0.560000,8313.0,9700.0,0.857010
98,10724,10823,100.0,81.0,0.810000,8394.0,9800.0,0.856531
99,10824,10923,100.0,76.25,0.762500,8470.25,9900.0,0.855581
100,10924,11023,100.0,82.75,0.827500,8553.0,10000.0,0.855300
101,11024,11123,100.0,89.75,0.897500,8642.75,10100.0,0.855718
102,11124,11223,100.0,83.75,0.837500,8726.5,10200.0,0.855539
103,11224,11323,100.0,82.5,0.825000,8809.0,10300.0,0.855243
104,11324,11423,100.0,53.0,0.530000,8862.0,10400.0,0.852115
105,11424,11523,100.0,76.25,0.762500,8938.25,10500.0,0.851262
106,11524,11623,100.0,78.75,0.787500,9017.0,10600.0,0.850660
107,11624,11723,100.0,59.75,0.597500,9076.75,10700.0,0.848294
108,11724,11823,100.0,73.25,0.732500,9150.0,10800.0,0.847222
109,11824,11923,100.0,80.25,0.802500,9230.25,10900.0,0.846812
110,11924,12023,100.0,70.75,0.707500,9301.0,11000.0,0.845545
111,12024,12123,100.0,77.0,0.770000,9378.0,11100.0,0.844865
112,12124,12223,100.0,85.0,0.850000,9463.0,11200.0,0.844911
113,12224,12323,100.0,79.5,0.795000,9542.5,11300.0,0.844469
114,12324,12423,100.0,72.5,0.725000,9615.0,11400.0,0.843421
115,12424,12523,100.0,82.75,0.827500,9697.75,11500.0,0.843283
116,12524,12623,100.0,83.25,0.832500,9781.0,11600.0,0.843190
117,12624,12723,100.0,84.75,0.847500,9865.75,11700.0,0.843226
118,12724,12823,100.0,94.25,0.942500,9960.0,11800.0,0.844068
119,12824,12923,100.0,84.25,0.842500,10044.25,11900.0,0.844055
120,12924,13023,100.0,78.75,0.787500,10123.0,12000.0,0.843583
121,13024,13123,100.0,85.25,0.852500,10208.25,12100.0,0.843657
122,13124,13223,100.0,75.25,0.752500,10283.5,12200.0,0.842910
123,13224,13323,100.0,79.0,0.790000,10362.5,12300.0,0.842480
124,13324,13423,100.0,84.5,0.845000,10447.0,12400.0,0.842500
125,13424,13523,100.0,57.0,0.570000,10504.0,12500.0,0.840320
126,13524,13623,100.0,56.5,0.565000,10560.5,12600.0,0.838135
127,13624,13723,100.0,69.5,0.695000,10630.0,12700.0,0.837008
128,13724,13823,100.0,83.0,0.830000,10713.0,12800.0,0.836953
129,13824,13923,100.0,66.75,0.667500,10779.75,12900.0,0.835640
130,13924,14023,100.0,79.25,0.792500,10859.0,13000.0,0.835308
131,14024,14123,100.0,72.75,0.727500,10931.75,13100.0,0.834485
132,14124,14223,100.0,82.25,0.822500,11014.0,13200.0,0.834394
133,14224,14323,100.0,78.25,0.782500,11092.25,13300.0,0.834004
134,14324,14423,100.0,85.75,0.857500,11178.0,13400.0,0.834179
135,14424,14523,100.0,84.25,0.842500,11262.25,13500.0,0.834241
136,14524,14623,100.0,71.75,0.717500,11334.0,13600.0,0.833382
137,14624,14723,100.0,81.75,0.817500,11415.75,13700.0,0.833266
138,14724,14823,100.0,82.75,0.827500,11498.5,13800.0,0.833225
139,14824,14923,100.0,52.75,0.527500,11551.25,13900.0,0.831025
140,14924,15023,100.0,75.75,0.757500,11627.0,14000.0,0.830500
141,15024,15123,100.0,72.5,0.725000,11699.5,14100.0,0.829752
142,15124,15223,100.0,76.5,0.765000,11776.0,14200.0,0.829296
143,15224,15323,100.0,99.0,0.990000,11875.0,14300.0,0.830420
144,15324,15423,100.0,96.0,0.960000,11971.0,14400.0,0.831319
145,15424,15523,100.0,96.75,0.967500,12067.75,14500.0,0.832259
146,15524,15623,100.0,91.25,0.912500,12159.0,14600.0,0.832808
147,15624,15723,100.0,93.0,0.930000,12252.0,14700.0,0.833469
148,15724,15823,100.0,87.0,0.870000,12339.0,14800.0,0.833716
149,15824,15923,100.0,93.0,0.930000,12432.0,14900.0,0.834362
150,15924,16023,100.0,91.5,0.915000,12523.5,15000.0,0.834900
151,16024,16123,100.0,94.75,0.947500,12618.25,15100.0,0.835646
152,16124,16223,100.0,96.75,0.967500,12715.0,15200.0,0.836513
153,16224,16323,100.0,94.5,0.945000,12809.5,15300.0,0.837222
154,16324,16423,100.0,95.5,0.955000,12905.0,15400.0,0.837987
155,16424,16523,100.0,87.5,0.875000,12992.5,15500.0,0.838226
156,16524,16623,100.0,99.5,0.995000,13092.0,15600.0,0.839231
157,16624,16723,100.0,84.0,0.840000,13176.0,15700.0,0.839236
158,16724,16823,100.0,94.0,0.940000,13270.0,15800.0,0.839873
159,16824,16923,100.0,95.0,0.950000,13365.0,15900.0,0.840566
160,16924,17023,100.0,91.0,0.910000,13456.0,16000.0,0.841000
161,17024,17123,100.0,89.0,0.890000,13545.0,16100.0,0.841304
162,17124,17223,100.0,94.0,0.940000,13639.0,16200.0,0.841914
163,17224,17323,100.0,86.0,0.860000,13725.0,16300.0,0.842025
164,17324,17423,100.0,92.0,0.920000,13817.0,16400.0,0.842500
165,17424,17523,100.0,97.0,0.970000,13914.0,16500.0,0.843273
166,17524,17623,100.0,99.0,0.990000,14013.0,16600.0,0.844157
167,17624,17723,100.0,97.0,0.970000,14110.0,16700.0,0.844910
168,17724,17823,100.0,100.0,1.000000,14210.0,16800.0,0.845833
169,17824,17923,100.0,96.0,0.960000,14306.0,16900.0,0.846509
170,17924,18023,100.0,100.0,1.000000,14406.0,17000.0,0.847412
171,18024,18123,100.0,89.5,0.895000,14495.5,17100.0,0.847690
172,18124,18223,100.0,99.5,0.995000,14595.0,17200.0,0.848547
173,18224,18323,100.0,96.0,0.960000,14691.0,17300.0,0.849191
174,18324,18423,100.0,98.0,0.980000,14789.0,17400.0,0.849943
175,18424,18523,100.0,99.0,0.990000,14888.0,17500.0,0.850743
176,18524,18623,100.0,95.0,0.950000,14983.0,17600.0,0.851307
177,18624,18723,100.0,100.0,1.000000,15083.0,17700.0,0.852147
178,18724,18823,100.0,99.0,0.990000,15182.0,17800.0,0.852921
179,18824,18923,100.0,98.0,0.980000,15280.0,17900.0,0.853631
180,18924,19023,100.0,95.0,0.950000,15375.0,18000.0,0.854167
181,19024,19123,100.0,100.0,1.000000,15475.0,18100.0,0.854972
182,19124,19223,100.0,97.0,0.970000,15572.0,18200.0,0.855604
183,19224,19323,100.0,94.75,0.947500,15666.75,18300.0,0.856107
184,19324,19423,100.0,95.25,0.952500,15762.0,18400.0,0.856630
185,19424,19523,100.0,99.0,0.990000,15861.0,18500.0,0.857351
186,19524,19623,100.0,94.5,0.945000,15955.5,18600.0,0.857823
187,19624,19723,100.0,97.5,0.975000,16053.0,18700.0,0.858449
188,19724,19823,100.0,96.0,0.960000,16149.0,18800.0,0.858989
189,19824,19923,100.0,99.0,0.990000,16248.0,18900.0,0.859683
190,19924,20023,100.0,95.0,0.950000,16343.0,19000.0,0.860158
191,20024,20123,100.0,97.0,0.970000,16440.0,19100.0,0.860733
192,20124,20223,100.0,99.0,0.990000,16539.0,19200.0,0.861406
193,20224,20323,100.0,96.5,0.965000,16635.5,19300.0,0.861943
194,20324,20423,100.0,98.5,0.985000,16734.0,19400.0,0.862577
195,20424,20523,100.0,97.25,0.972500,16831.25,19500.0,0.863141
196,20524,20623,100.0,98.75,0.987500,16930.0,19600.0,0.863776
197,20624,20723,100.0,87.0,0.870000,17017.0,19700.0,0.863807
198,20724,20823,100.0,98.0,0.980000,17115.0,19800.0,0.864394
199,20824,20923,100.0,92.0,0.920000,17207.0,19900.0,0.864673
200,20924,21023,100.0,97.0,0.970000,17304.0,20000.0,0.865200
201,21024,21123,100.0,100.0,1.000000,17404.0,20100.0,0.865871
202,21124,21223,100.0,99.0,0.990000,17503.0,20200.0,0.866485
203,21224,21323,100.0,99.0,0.990000,17602.0,20300.0,0.867094
204,21324,21423,100.0,100.0,1.000000,17702.0,20400.0,0.867745
205,21424,21523,100.0,98.0,0.980000,17800.0,20500.0,0.868293
206,21524,21623,100.0,100.0,1.000000,17900.0,20600.0,0.868932
207,21624,21723,100.0,99.0,0.990000,17999.0,20700.0,0.869517
208,21724,21823,100.0,100.0,1.000000,18099.0,20800.0,0.870144
209,21824,21923,100.0,97.0,0.970000,18196.0,20900.0,0.870622
210,21924,22023,100.0,99.0,0.990000,18295.0,21000.0,0.871190
211,22024,22123,100.0,100.0,1.000000,18395.0,21100.0,0.871801
212,22124,22223,100.0,96.0,0.960000,18491.0,21200.0,0.872217
213,22224,22323,100.0,100.0,1.000000,18591.0,21300.0,0.872817
214,22324,22423,100.0,98.0,0.980000,18689.0,21400.0,0.873318
215,22424,22523,100.0,96.0,0.960000,18785.0,21500.0,0.873721
216,22524,22623,100.0,98.0,0.980000,18883.0,21600.0,0.874213
217,22624,22723,100.0,95.0,0.950000,18978.0,21700.0,0.874562
218,22724,22823,100.0,100.0,1.000000,19078.0,21800.0,0.875138
219,22824,22923,100.0,98.0,0.980000,19176.0,21900.0,0.875616
220,22924,23023,100.0,96.0,0.960000,19272.0,22000.0,0.876000
221,23024,23123,100.0,90.75,0.907500,19362.75,22100.0,0.876143
222,23124,23223,100.0,91.25,0.912500,19454.0,22200.0,0.876306
223,23224,23323,100.0,100.0,1.000000,19554.0,22300.0,0.876861
224,23324,23423,100.0,93.0,0.930000,19647.0,22400.0,0.877098
225,23424,23523,100.0,99.0,0.990000,19746.0,22500.0,0.877600
226,23524,23623,100.0,100.0,1.000000,19846.0,22600.0,0.878142
227,23624,23723,100.0,99.25,0.992500,19945.25,22700.0,0.878645
228,23724,23823,100.0,99.75,0.997500,20045.0,22800.0,0.879167
229,23824,23923,100.0,100.0,1.000000,20145.0,22900.0,0.879694
230,23924,24023,100.0,96.0,0.960000,20241.0,23000.0,0.880043
231,24024,24123,100.0,100.0,1.000000,20341.0,23100.0,0.880563
232,24124,24223,100.0,100.0,1.000000,20441.0,23200.0,0.881078
233,24224,24323,100.0,97.0,0.970000,20538.0,23300.0,0.881459
234,24324,24423,100.0,100.0,1.000000,20638.0,23400.0,0.881966
235,24424,24523,100.0,100.0,1.000000,20738.0,23500.0,0.882468
236,24524,24623,100.0,98.0,0.980000,20836.0,23600.0,0.882881
237,24624,24723,100.0,100.0,1.000000,20936.0,23700.0,0.883376
238,24724,24823,100.0,99.0,0.990000,21035.0,23800.0,0.883824
239,24824,24923,100.0,93.0,0.930000,21128.0,23900.0,0.884017
240,24924,25023,100.0,98.0,0.980000,21226.0,24000.0,0.884417
241,25024,25123,100.0,95.0,0.950000,21321.0,24100.0,0.884689
242,25124,25223,100.0,100.0,1.000000,21421.0,24200.0,0.885165
243,25224,25323,100.0,97.0,0.970000,21518.0,24300.0,0.885514
244,25324,25423,100.0,97.0,0.970000,21615.0,24400.0,0.885861
245,25424,25523,100.0,99.25,0.992500,21714.25,24500.0,0.886296
246,25524,25623,100.0,93.75,0.937500,21808.0,24600.0,0.886504
247,25624,25723,100.0,99.0,0.990000,21907.0,24700.0,0.886923
248,25724,25823,100.0,100.0,1.000000,22007.0,24800.0,0.887379
249,25824,25923,100.0,97.0,0.970000,22104.0,24900.0,0.887711
250,25924,26023,100.0,100.0,1.000000,22204.0,25000.0,0.888160
251,26024,26123,100.0,100.0,1.000000,22304.0,25100.0,0.888606
252,26124,26223,100.0,98.0,0.980000,22402.0,25200.0,0.888968
253,26224,26323,100.0,100.0,1.000000,22502.0,25300.0,0.889407
254,26324,26423,100.0,100.0,1.000000,22602.0,25400.0,0.889843
255,26424,26523,100.0,98.0,0.980000,22700.0,25500.0,0.890196
256,26524,26623,100.0,99.0,0.990000,22799.0,25600.0,0.890586
257,26624,26723,100.0,100.0,1.000000,22899.0,25700.0,0.891012
258,26724,26823,100.0,91.0,0.910000,22990.0,25800.0,0.891085
259,26824,26923,100.0,94.0,0.940000,23084.0,25900.0,0.891274
260,26924,27023,100.0,100.0,1.000000,23184.0,26000.0,0.891692
261,27024,27123,100.0,95.75,0.957500,23279.75,26100.0,0.891944
262,27124,27223,100.0,95.75,0.957500,23375.5,26200.0,0.892195
263,27224,27323,100.0,99.5,0.995000,23475.0,26300.0,0.892586
264,27324,27423,100.0,100.0,1.000000,23575.0,26400.0,0.892992
265,27424,27523,100.0,88.0,0.880000,23663.0,26500.0,0.892943
266,27524,27623,100.0,92.0,0.920000,23755.0,26600.0,0.893045
267,27624,27723,100.0,100.0,1.000000,23855.0,26700.0,0.893446
268,27724,27823,100.0,96.0,0.960000,23951.0,26800.0,0.893694
269,27824,27923,100.0,97.75,0.977500,24048.75,26900.0,0.894006
270,27924,28023,100.0,98.25,0.982500,24147.0,27000.0,0.894333
271,28024,28123,100.0,100.0,1.000000,24247.0,27100.0,0.894723
272,28124,28223,100.0,95.0,0.950000,24342.0,27200.0,0.894926
273,28224,28323,100.0,97.0,0.970000,24439.0,27300.0,0.895201
274,28324,28423,100.0,98.0,0.980000,24537.0,27400.0,0.895511
275,28424,28523,100.0,100.0,1.000000,24637.0,27500.0,0.895891
276,28524,28623,100.0,92.0,0.920000,24729.0,27600.0,0.895978
277,28624,28723,100.0,95.0,0.950000,24824.0,27700.0,0.896173
278,28724,28823,100.0,100.0,1.000000,24924.0,27800.0,0.896547
279,28824,28923,100.0,99.0,0.990000,25023.0,27900.0,0.896882
280,28924,29023,100.0,97.0,0.970000,25120.0,28000.0,0.897143
281,29024,29123,100.0,95.0,0.950000,25215.0,28100.0,0.897331
282,29124,29223,100.0,100.0,1.000000,25315.0,28200.0,0.897695
283,29224,29323,100.0,98.0,0.980000,25413.0,28300.0,0.897986
284,29324,29423,100.0,99.0,0.990000,25512.0,28400.0,0.898310
285,29424,29523,100.0,97.0,0.970000,25609.0,28500.0,0.898561
286,29524,29623,100.0,100.0,1.000000,25709.0,28600.0,0.898916
287,29624,29723,100.0,97.0,0.970000,25806.0,28700.0,0.899164
288,29724,29823,100.0,96.0,0.960000,25902.0,28800.0,0.899375
289,29824,29923,100.0,99.0,0.990000,26001.0,28900.0,0.899689
290,29924,30023,100.0,99.0,0.990000,26100.0,29000.0,0.900000
291,30024,30123,100.0,98.25,0.982500,26198.25,29100.0,0.900284
292,30124,30223,100.0,94.75,0.947500,26293.0,29200.0,0.900445
293,30224,30323,100.0,100.0,1.000000,26393.0,29300.0,0.900785
294,30324,30423,100.0,97.5,0.975000,26490.5,29400.0,0.901037
295,30424,30523,100.0,98.5,0.985000,26589.0,29500.0,0.901322
296,30524,30623,100.0,98.0,0.980000,26687.0,29600.0,0.901588
297,30624,30723,100.0,100.0,1.000000,26787.0,29700.0,0.901919
298,30724,30823,100.0,95.5,0.955000,26882.5,29800.0,0.902097
299,30824,30923,100.0,95.75,0.957500,26978.25,29900.0,0.902283
300,30924,31023,100.0,97.75,0.977500,27076.0,30000.0,0.902533
301,31024,31123,100.0,100.0,1.000000,27176.0,30100.0,0.902857
