window_size,window_acc,global_acc,macro_f1,global_samples
100,0.84,0.84,0.8397435897435898,100
100,0.91,0.875,0.9095568284594513,200
100,0.96,0.9033333333333333,0.959983993597439,300
100,0.97,0.92,0.9698522761531505,400
100,0.91,0.918,0.9066293183940243,500
100,0.95,0.9233333333333333,0.947207264280435,600
100,0.93,0.9242857142857143,0.9299929992999301,700
100,0.92,0.92375,0.9159310634720471,800
100,0.94,0.9255555555555556,0.9379909053327822,900
100,0.91,0.924,0.9092650468797259,1000
100,0.98,0.9290909090909091,0.9799277398635087,1100
100,0.93,0.9291666666666667,0.9299369432489241,1200
100,0.96,0.9315384615384615,0.9594155844155845,1300
100,0.9,0.9292857142857143,0.898538961038961,1400
100,0.96,0.9313333333333333,0.9599358974358975,1500
100,0.94,0.931875,0.9399759903961584,1600
100,0.97,0.9341176470588235,0.969309462915601,1700
100,0.95,0.935,0.9499949994999499,1800
100,0.89,0.9326315789473684,0.8867263927504891,1900
100,0.96,0.934,0.9595959595959596,2000
100,0.94,0.9342857142857143,0.9388004895960832,2100
100,0.93,0.9340909090909091,0.9299929992999301,2200
100,0.94,0.9343478260869565,0.9363327674023769,2300
100,0.95,0.935,0.948849104859335,2400
100,0.97,0.9364,0.9691071980228607,2500
100,0.94,0.9365384615384615,0.9396135265700483,2600
100,0.91,0.9355555555555556,0.907321594068582,2700
100,0.93,0.9353571428571429,0.9299929992999301,2800
100,0.99,0.9372413793103448,0.9898280948021565,2900
100,0.91,0.9363333333333334,0.9097744360902256,3000
100,0.88,0.9345161290322581,0.8792270531400965,3100
100,0.89,0.933125,0.8881090428237208,3200
100,0.92,0.9327272727272727,0.9197109594540345,3300
100,0.94,0.9329411764705883,0.9384236453201971,3400
100,0.91,0.9322857142857143,0.9088976617066504,3500
100,0.88,0.9308333333333333,0.8768472906403941,3600
100,0.91,0.9302702702702703,0.9066293183940243,3700
100,0.95,0.9307894736842105,0.9493875898370281,3800
100,0.96,0.9315384615384615,0.9583333333333333,3900
100,0.94,0.93175,0.9369482976040353,4000
100,0.96,0.932439024390244,0.9589490968801313,4100
100,0.95,0.9328571428571428,0.9485119967047678,4200
100,0.92,0.9325581395348838,0.9198717948717949,4300
100,0.94,0.9327272727272727,0.9384236453201971,4400
100,0.95,0.9331111111111111,0.9495916927109588,4500
100,0.91,0.9326086956521739,0.9092650468797259,4600
100,0.9,0.9319148936170213,0.8998397435897436,4700
100,0.92,0.9316666666666666,0.9188311688311688,4800
100,0.93,0.9316326530612244,0.9299929992999301,4900
100,0.81,0.9292,0.8067338012409724,5000
100,0.76,0.9258823529411765,0.7584541062801933,5100
100,0.9,0.9253846153846154,0.8949138293400589,5200
100,0.92,0.9252830188679245,0.9197109594540345,5300
100,0.91,0.925,0.907321594068582,5400
100,0.93,0.9250909090909091,0.9273783587509077,5500
100,0.94,0.9253571428571429,0.9396135265700483,5600
100,0.91,0.9250877192982456,0.9099189270343309,5700
100,0.94,0.9253448275862068,0.9397832195905259,5800
100,0.97,0.9261016949152543,0.9697550156265753,5900
100,0.96,0.9266666666666666,0.9595959595959596,6000
100,0.93,0.9267213114754098,0.9294283697953423,6100
100,0.91,0.9264516129032258,0.90999099909991,6200
100,0.9,0.926031746031746,0.8999599839935974,6300
100,0.93,0.92609375,0.9291426257718393,6400
100,0.94,0.9263076923076923,0.9399038461538461,6500
100,0.94,0.9265151515151515,0.9396135265700483,6600
100,0.88,0.9258208955223881,0.8798076923076923,6700
100,0.96,0.9263235294117647,0.959983993597439,6800
100,0.91,0.9260869565217391,0.9097744360902256,6900
100,0.95,0.9264285714285714,0.949753793588584,7000
100,0.92,0.9263380281690141,0.9197109594540345,7100
100,0.93,0.9263888888888889,0.9291426257718393,7200
100,0.94,0.9265753424657535,0.9393939393939394,7300
100,0.96,0.927027027027027,0.9594155844155845,7400
100,0.93,0.9270666666666667,0.9299929992999301,7500
100,0.92,0.9269736842105263,0.9191919191919191,7600
100,0.93,0.9270129870129871,0.9296553110240177,7700
100,0.94,0.9271794871794872,0.94,7800
100,0.96,0.9275949367088607,0.9595959595959596,7900
100,0.92,0.9275,0.9194847020933977,8000
100,0.96,0.9279012345679012,0.9598554797270173,8100
100,0.96,0.9282926829268293,0.959983993597439,8200
100,0.94,0.928433734939759,0.9375,8300
100,0.96,0.9288095238095239,0.9592003263973888,8400
