window_size,window_acc,global_acc,macro_f1,global_samples
100,0.96,0.9409016393442623,0.9397227245328511,12200
100,0.95,0.9409756097560975,0.9203694855868769,12300
100,0.92,0.9408064516129032,0.8794454490657022,12400
100,0.94,0.9408,0.9153020892151327,12500
100,0.96,0.940952380952381,0.9451754385964912,12600
100,0.93,0.9408661417322834,0.9122257053291536,12700
100,0.95,0.9409375,0.9410307819318315,12800
100,0.92,0.9407751937984496,0.8985286656519533,12900
100,0.98,0.941076923076923,0.9746321664129882,13000
100,0.93,0.9409923664122137,0.8963116575322174,13100
100,0.98,0.9412878787878788,0.9757163671685285,13200
100,0.95,0.9413533834586466,0.9373040752351097,13300
100,0.93,0.9412686567164179,0.9122257053291536,13400
100,0.95,0.9413333333333334,0.9092723643621847,13500
100,0.96,0.9414705882352942,0.9397227245328511,13600
100,0.98,0.9417518248175183,0.9757163671685285,13700
100,0.93,0.9416666666666667,0.9101527403414196,13800
100,0.95,0.9417266187050359,0.9420692851349786,13900
100,0.96,0.9418571428571428,0.9575551782682512,14000
100,0.97,0.9420567375886525,0.9539806718821906,14100
100,0.98,0.9423239436619718,0.9770220588235294,14200
100,0.96,0.9424475524475524,0.9480249480249481,14300
100,0.95,0.9425,0.9342018686669299,14400
100,0.97,0.9426896551724138,0.9646184691590989,14500
100,0.96,0.9428082191780822,0.9417249417249417,14600
100,0.97,0.9429931972789115,0.956989247311828,14700
100,0.96,0.9431081081081081,0.9435347261434217,14800
100,0.97,0.9432885906040268,0.9582811848143513,14900
100,0.94,0.9432666666666667,0.9199999999999999,15000
100,0.74,0.9419205298013245,0.7331691297208538,15100
100,0.82,0.9411184210526315,0.7896213183730716,15200
100,0.82,0.9403267973856209,0.7964721845318861,15300
100,0.83,0.9396103896103896,0.8205046985534791,15400
100,0.89,0.9392903225806452,0.8874680306905371,15500
100,0.89,0.938974358974359,0.8881090428237208,15600
100,0.94,0.9389808917197452,0.9399038461538461,15700
100,0.93,0.9389240506329114,0.9294283697953423,15800
100,0.97,0.9391194968553459,0.9691071980228607,15900
100,0.92,0.939,0.9159310634720471,16000
100,0.94,0.9390062111801242,0.9379909053327822,16100
100,0.89,0.9387037037037037,0.8897243107769424,16200
100,0.94,0.9387116564417178,0.9388004895960832,16300
100,0.91,0.9385365853658536,0.907321594068582,16400
100,0.94,0.9385454545454546,0.9399038461538461,16500
100,0.96,0.9386746987951807,0.9586606035551881,16600
100,0.98,0.9389221556886228,0.9799919967987194,16700
100,0.94,0.9389285714285714,0.9396135265700483,16800
100,0.97,0.9391124260355029,0.9697550156265753,16900
100,0.9,0.9388823529411765,0.8966515088879703,17000
100,0.95,0.9389473684210526,0.9499549594635172,17100
100,0.93,0.9388953488372093,0.9296553110240177,17200
100,0.96,0.9390173410404624,0.9565972222222222,17300
100,0.94,0.9390229885057472,0.9348958333333333,17400
100,0.91,0.9388571428571428,0.9095568284594513,17500
100,0.95,0.9389204545454546,0.9454088874331259,17600
100,0.95,0.9389830508474576,0.949753793588584,17700
100,0.97,0.9391573033707865,0.9699248120300752,17800
100,0.93,0.9391061452513967,0.9296553110240177,17900
100,0.99,0.9393888888888889,0.9899507587177168,18000
100,0.96,0.9395027624309392,0.9586606035551881,18100
100,0.95,0.9395604395604396,0.9493875898370281,18200
100,0.95,0.9396174863387978,0.9499549594635172,18300
100,1.0,0.939945652173913,1.0,18400
100,0.97,0.9401081081081081,0.9697550156265753,18500
100,0.94,0.9401075268817204,0.9379909053327822,18600
100,0.93,0.9400534759358289,0.9299369432489241,18700
100,0.96,0.9401595744680851,0.9598554797270173,18800
100,0.93,0.9401058201058201,0.9279167953866749,18900
100,0.97,0.9402631578947368,0.9697550156265753,19000
100,0.99,0.9405235602094241,0.9899989998999901,19100
100,0.98,0.9407291666666666,0.9799919967987194,19200
100,0.94,0.9407253886010363,0.9396135265700483,19300
100,0.97,0.9408762886597938,0.9699729756781104,19400
100,0.95,0.940923076923077,0.9493875898370281,19500
100,0.97,0.9410714285714286,0.9699729756781104,19600
100,0.98,0.9412690355329949,0.9798711755233495,19700
100,0.93,0.9412121212121212,0.9294283697953423,19800
100,0.98,0.9414070351758794,0.9797077922077921,19900
100,0.96,0.9415,0.9598554797270173,20000
100,0.79,0.9407462686567164,0.7803117480908045,20100
100,0.82,0.9401485148514851,0.8152709359605912,20200
100,0.91,0.94,0.9058478920389161,20300
100,0.86,0.9396078431372549,0.8541666666666666,20400
100,0.9,0.9394146341463414,0.8973727422003284,20500
100,0.93,0.939368932038835,0.9235724424063763,20600
100,0.84,0.9388888888888889,0.8333333333333334,20700
100,0.92,0.9387980769230769,0.9178981937602627,20800
100,0.98,0.9389952153110048,0.9787775891341257,20900
100,0.9,0.9388095238095238,0.8914930555555556,21000
100,0.95,0.9388625592417061,0.9485119967047678,21100
100,0.95,0.9389150943396226,0.9481273991077912,21200
100,0.96,0.9390140845070423,0.9565972222222222,21300
100,0.92,0.9389252336448598,0.9095431931252826,21400
100,0.93,0.9388837209302325,0.9299929992999301,21500
100,0.95,0.9389351851851852,0.9420692851349786,21600
100,0.96,0.9390322580645162,0.9547715965626413,21700
100,0.95,0.9390825688073394,0.939896622190167,21800
100,1.0,0.9393607305936073,1.0,21900
100,0.95,0.9394090909090909,0.9491404740107823,22000
100,0.91,0.9392760180995475,0.9058478920389161,22100
100,0.94,0.9392792792792792,0.9375,22200
100,0.94,0.9392825112107623,0.932157394843962,22300
100,0.96,0.939375,0.9480249480249481,22400
100,0.94,0.9393777777777778,0.9298737727910238,22500
100,0.97,0.9395132743362832,0.9631947000368053,22600
100,0.94,0.9395154185022027,0.9298737727910238,22700
100,0.95,0.9395614035087719,0.9373040752351097,22800
100,0.92,0.9394759825327511,0.9028654686741135,22900
100,0.96,0.9395652173913044,0.9586606035551881,23000
100,0.91,0.9394372294372294,0.907928388746803,23100
100,0.95,0.9394827586206896,0.9283154121863799,23200
100,0.95,0.9395278969957082,0.9466666666666667,23300
100,0.9,0.9393589743589743,0.8885918003565062,23400
100,0.93,0.9393191489361702,0.9202279202279202,23500
100,0.95,0.939364406779661,0.9438895746829761,23600
100,0.94,0.939367088607595,0.9255952380952381,23700
100,0.93,0.939327731092437,0.9188969991889699,23800
100,0.9,0.939163179916318,0.8914930555555556,23900
100,0.97,0.9392916666666666,0.9658119658119658,24000
100,0.98,0.9394605809128631,0.971767363071711,24100
100,0.96,0.9395454545454546,0.9523809523809523,24200
100,0.97,0.9396707818930041,0.9668104878858281,24300
100,0.95,0.9397131147540984,0.9485119967047678,24400
100,0.96,0.939795918367347,0.9583333333333333,24500
100,0.94,0.9397967479674797,0.9340659340659341,24600
100,0.94,0.9397975708502024,0.9369482976040353,24700
100,0.94,0.9397983870967742,0.9285714285714286,24800
100,0.92,0.939718875502008,0.9095431931252826,24900
100,0.9,0.93956,0.8809523809523809,25000
100,0.91,0.9394422310756972,0.907321594068582,25100
