window_size,window_acc,global_acc,macro_f1,global_samples
100,0.43,0.43,0.29951400035669695,100
100,0.66,0.545,0.6177672888199204,200
100,0.51,0.5333333333333333,0.5117085235920853,300
100,0.56,0.54,0.4331439046512576,400
100,0.69,0.57,0.6643929252362988,500
100,0.69,0.59,0.668780193236715,600
100,0.78,0.6171428571428571,0.7703285992759676,700
100,0.83,0.64375,0.8073418003565063,800
100,0.53,0.6311111111111111,0.49320787907744434,900
100,0.47,0.615,0.4290850578960335,1000
100,0.74,0.6263636363636363,0.7402083935466179,1100
100,0.74,0.6358333333333334,0.727582605750414,1200
100,0.85,0.6523076923076923,0.8487082479667226,1300
100,0.86,0.6671428571428571,0.8413360295371097,1400
100,0.65,0.666,0.6214641522860701,1500
100,0.5,0.655625,0.48188758934372966,1600
100,0.64,0.6547058823529411,0.5694771241830066,1700
100,0.75,0.66,0.7,1800
100,0.8,0.6673684210526316,0.762900670604159,1900
100,0.81,0.6745,0.8095082822485978,2000
100,0.54,0.6680952380952381,0.5592229378090033,2100
100,0.54,0.6622727272727272,0.5131662149954833,2200
100,0.71,0.6643478260869565,0.7367662473794548,2300
100,0.65,0.66375,0.6026618492315903,2400
100,0.78,0.6684,0.7763824596406479,2500
100,0.82,0.6742307692307692,0.7769839900297191,2600
100,0.66,0.6737037037037037,0.5951686970591035,2700
100,0.8,0.6782142857142858,0.7741137123745818,2800
100,0.87,0.6848275862068965,0.865682601355258,2900
100,0.91,0.6923333333333334,0.8986294517807123,3000
100,0.88,0.6983870967741935,0.8849302273332447,3100
100,0.83,0.7025,0.8261585409126393,3200
100,0.64,0.7006060606060606,0.5750931196851501,3300
100,0.78,0.7029411764705882,0.7839857207250716,3400
100,0.85,0.7071428571428572,0.8455267767767768,3500
100,0.86,0.7113888888888888,0.8626916037520018,3600
100,0.9,0.7164864864864865,0.893638898920589,3700
100,0.86,0.7202631578947368,0.857157029478458,3800
100,0.87,0.7241025641025641,0.8612926801532145,3900
100,0.5,0.7185,0.4751633537382214,4000
100,0.86,0.7219512195121951,0.8446969696969697,4100
100,0.88,0.7257142857142858,0.8674106083151146,4200
100,0.91,0.73,0.9088332302618017,4300
100,0.87,0.7331818181818182,0.8742138364779874,4400
100,0.85,0.7357777777777778,0.8509437189941267,4500
100,0.82,0.7376086956521739,0.8200284516322253,4600
100,0.85,0.74,0.8486686210352062,4700
100,0.83,0.741875,0.8144418583424607,4800
100,0.83,0.7436734693877551,0.8392045454545455,4900
100,0.81,0.745,0.7924280021054215,5000
100,0.69,0.743921568627451,0.24255729278218036,5100
100,0.79,0.7448076923076923,0.3659395591910929,5200
100,0.86,0.7469811320754717,0.5415955995224288,5300
100,0.9,0.7498148148148148,0.8280319333942003,5400
100,0.88,0.7521818181818182,0.4513002745921499,5500
100,0.85,0.7539285714285714,0.6561224489795918,5600
100,0.92,0.7568421052631579,0.6718743667679837,5700
100,0.94,0.76,0.8374268311975952,5800
100,0.92,0.7627118644067796,0.801062091503268,5900
100,0.95,0.7658333333333334,0.8167366946778711,6000
100,0.98,0.769344262295082,0.8301282051282051,6100
100,0.95,0.772258064516129,0.8125551876379691,6200
100,0.96,0.7752380952380953,0.6782997762863534,6300
100,0.97,0.77828125,0.7167477696674777,6400
100,0.93,0.7806153846153846,0.8112894093807737,6500
100,0.99,0.7837878787878788,0.9149659863945578,6600
100,0.95,0.7862686567164179,0.7592876618950238,6700
100,0.94,0.7885294117647059,0.6170474262579526,6800
100,0.93,0.7905797101449276,0.6226731601731602,6900
100,0.91,0.7922857142857143,0.7076747453459782,7000
100,0.95,0.7945070422535211,0.8469246031746032,7100
100,0.92,0.79625,0.7902067027894843,7200
100,0.95,0.7983561643835616,0.8623580020046776,7300
100,0.98,0.8008108108108108,0.9259334415584415,7400
100,0.98,0.8032,0.9460467205750225,7500
100,0.95,0.8051315789473684,0.6449664429530202,7600
100,0.94,0.8068831168831169,0.8073880715076728,7700
100,0.95,0.8087179487179487,0.9152949487813494,7800
100,0.94,0.810379746835443,0.836496151713543,7900
100,0.94,0.812,0.8691808191808192,8000
100,0.94,0.8135802469135802,0.8751336898395722,8100
100,1.0,0.8158536585365853,1.0,8200
100,0.92,0.8171084337349398,0.724937343358396,8300
100,0.94,0.8185714285714286,0.7697897340754484,8400
100,0.98,0.8204705882352941,0.6546412244086662,8500
100,0.95,0.8219767441860465,0.8733766233766234,8600
100,0.95,0.8234482758620689,0.8605630630630631,8700
100,0.92,0.8245454545454546,0.8184523809523809,8800
100,0.93,0.8257303370786517,0.8926803210339795,8900
100,0.93,0.8268888888888889,0.8331391875746714,9000
100,0.98,0.8285714285714286,0.9873400852878464,9100
100,0.92,0.8295652173913044,0.624911629551078,9200
100,0.98,0.8311827956989247,0.9841216216216215,9300
100,0.91,0.8320212765957447,0.575587084148728,9400
100,0.95,0.8332631578947368,0.8108974358974359,9500
100,0.98,0.8347916666666667,0.7382928905917412,9600
100,0.95,0.835979381443299,0.7800638371290545,9700
100,0.95,0.8371428571428572,0.6499084249084249,9800
100,0.95,0.8382828282828283,0.8178496738535079,9900
100,0.85,0.8384,0.8017776825872778,10000
100,0.73,0.8373267326732673,0.42634660421545667,10100
100,0.91,0.8380392156862745,0.6520199967985421,10200
100,0.85,0.8381553398058252,0.7393592939396845,10300
100,0.9,0.83875,0.6657229344729345,10400
100,0.86,0.838952380952381,0.5671428571428572,10500
100,0.94,0.8399056603773585,0.8317079525412858,10600
100,0.82,0.8397196261682243,0.4120501893939394,10700
100,0.87,0.84,0.5282738095238095,10800
100,0.87,0.8402752293577982,0.591804244614914,10900
100,0.89,0.8407272727272728,0.7529819471308833,11000
100,0.91,0.8413513513513513,0.7950716845878136,11100
100,0.92,0.8420535714285714,0.7059638554216867,11200
100,0.75,0.8412389380530974,0.5777777777777777,11300
100,0.94,0.8421052631578947,0.8555819180819182,11400
100,0.96,0.8431304347826087,0.9146127681841968,11500
